Year;Latitude;Longitude;Depth;Mw
2020;35.5553;26.7477;7.1;3.8
2020;35.5618;26.7365;7;3.5
2020;35.5582;26.7257;7;3.5
2020;35.5787;26.7742;5;3.5
2020;35.3968;26.116;7.5;3.5
2020;35.5735;26.7153;1.9;4
2020;38.4033;39.092;9.7;3.7
2020;39.4045;40.0108;5;4.1
2020;35.2665;36.5493;4.8;3.8
2020;36.6458;30.5748;92.4;3.2
2020;35.3083;27.8817;10.7;4.4
2020;38.9608;26.3963;11.6;3.4
2020;35.5165;27.7833;16;4.1
2020;37.0183;28.1552;6.6;3.7
2020;37.8248;27.191;1;3.6
2020;36.4992;26.8452;136.7;3.6
2020;39.3258;38.4148;5.1;4
2020;39.4467;27.8775;8.6;3.6
2020;35.6275;29.4227;5;3.8
2020;38.3967;39.0355;8;4
2020;39.003;27.87;14.5;3.5
2020;38.3658;44.5593;3.5;4.1
2020;38.364;44.4862;5;3.8
2020;37.0037;28.5315;8.4;4.5
2020;38.4357;39.2038;3.8;4.3
2020;38.3463;44.2897;8.8;3.8
2020;39.5998;26.0455;7.4;3.5
2020;40.0848;33.2485;7;3.8
2020;37.4437;26.7398;6.1;3.5
2020;35.9252;27.9327;56.5;4.2
2020;38.3438;44.5417;1.9;3.9
2020;35.1908;27.9877;8.5;3.6
2020;35.2837;26.1633;11.4;4.2
2020;38.0172;42.7095;5.1;4.1
2020;38.183;44.5828;3.7;4.2
2020;39.1358;27.7953;2.2;3.4
2020;35.263;27.903;13.8;3.9
2020;39.1043;27.8005;7.8;4.2
2020;37.9763;28.8053;6.6;3.6
2020;35.7457;27.5608;12.5;4
2020;39.0948;27.8187;13;4.4
2020;38.3103;42.7108;5;3.7
2020;35.855;35.4423;8.9;3.8
2020;35.8158;35.5005;13.2;4.6
2020;35.7112;35.5842;5;4.6
2020;35.8522;35.5228;12.1;4
2020;41.5683;28.789;17.7;3.7
2020;38.9773;27.8593;4.2;3.6
2020;35.9957;44.567;7.4;3.7
2020;39.312;40.8772;3.4;4.4
2020;38.3717;44.4823;5;4.9
2020;35.0913;26.2213;26.2;3.5
2020;35.187;26.1597;23.9;4.9
2020;35.1148;27.7992;7.4;3.8
2020;35.161;27.8008;9.7;3.7
2020;40.8278;37.271;5.4;4.1
2020;35.112;27.8305;9.9;3.8
2020;35.1385;27.83;8.7;4.2
2020;38.2012;44.3117;5;3.6
2020;37.36;36.236;5;3.4
2020;35.7103;35.529;8.6;4.6
2020;38.4372;44.3203;5;4.3
2020;38.8645;43.5237;5;4.8
2020;35.2062;27.8133;6.9;3.6
2020;40.4832;32.9465;3.2;3.8
2020;38.7813;27.7115;3.8;3.8
2020;40.7788;27.4542;16.7;3.3
2020;38.3882;39.122;5.5;3.8
2020;39.0143;27.8327;10.7;4.1
2020;38.3147;38.7537;5;3.8
2020;35.0908;27.8608;6.8;3.6
2020;35.8488;28.229;5;3.9
2020;38.4265;39.19;4.3;3.9
2020;38.4197;44.281;9.6;3.6
2020;38.1032;44.7925;8.7;4.8
2020;39.166;27.7985;11;3.5
